pickup_datetime,pickup_zone,lat,lon,passengers,fare_usd
2016-06-01 08:05,Penn Station,40.7506,-73.9935,1,8.5
2016-06-01 08:22,Grand Central,40.7527,-73.9772,2,10.0
2016-06-01 09:10,Times Square,40.758,-73.9855,1,7.0
2016-06-01 10:35,Lower East Side,40.715,-73.9843,1,12.0
2016-06-01 11:45,DUMBO,40.7033,-73.9903,3,16.5
2016-06-01 13:20,JFK Airport,40.6413,-73.7781,2,52.0
2016-06-01 18:15,LaGuardia Airport,40.7769,-73.874,1,31.0
2016-06-01 20:42,Williamsburg,40.7081,-73.9571,2,18.0
2016-06-01 22:10,Brooklyn Heights,40.6959,-73.9956,1,14.0
2016-06-01 23:50,Harlem,40.8116,-73.9465,2,22.0
